fila;clasificacion;score;zona_excel;marca_excel;rs2;rs1;cod_erp;desc_erp;zona_erp;marca_erp;marca_ok;total
39;FUERTE;96;MARACAIBO;THE CHILDREN´S PLACE;"TCP MARACAIBO, C.A";"JUST MARACAIBO, C.A.(CERRADA EN BANCO)";56;"Tcp  Maracaibo, C.A.2023";MARACAIBO;TCP;NO;2208277.23
45;FUERTE;96;MARACAIBO;THE CHILDREN´S PLACE;"TCP SAN FRANCISCO, C.A";;268;"Tcp San Francisco, C.A";MARACAIBO;TCP;NO;1115562.28
48;FUERTE;96;MARACAIBO;ISTIKBAL;"ISTIKBAL MARACAIBO, C.A.";"ISTIKBAL MARACAIBO C,A";299;"Istikbal Maracaibo, C.A";MARACAIBO;ISTIKBAL;SI;3329347.36
49;FUERTE;96;MARACAIBO;ADMINISTRATIVA;"ADMINISTRACION MCBO, C.A";"MAYS, C.A.(CERRADA EN BANCO)";152;"Administracion Mcbo, C.A.";MARACAIBO;DISTRIBUIDORAS;NO;228728.86
67;FUERTE;96;MARACAY;ADMINISTRATIVA;"ADMON  GD MARACAY, C.A.";"LS MARACAY, C.A.";149;ADMON GD MARACAY C.A 2023;MARACAY;DISTRIBUIDORAS;NO;592244.34
75;FUERTE;96;VALENCIA;CALVIN KLEIN;"COMERCIAL CK  VALENCIA, C.A.";;133;"Comercial CK Valencia, C.A. 2023";VALENCIA;CALVIN KLEIN;SI;1768835.94
81;FUERTE;96;VALENCIA;TOMMY HILFIGER;"INVERSIONES TH VALENCIA 2025, C.A";;88;"Inversiones Th Valencia, C.A.2023";VALENCIA;FITLAB;NO;108758.14
83;FUERTE;96;VALENCIA;ADMINISTRATIVA;"ADMINISTRACION GD VALENCIA, C.A";;151;"Administracion  GD Valencia, C.A.";VALENCIA;DISTRIBUIDORAS;NO;1367362.69
89;FUERTE;96;SAN CRISTOBAL;THE CHILDREN´S PLACE;"TCP SAN CRISTOBAL,C.A.";"TCP SAN CRISTOBAL,C.A.";60;"Tcp San Cristobal, C.A.2023";SAN CRISTOBAL;TCP;NO;519769.04
90;FUERTE;96;SAN CRISTOBAL;AMERICAN EAGLE;"AEO SAN CRISTOBAL, C.A.";;106;"Aeo San Cristobal, C.A.2023";SAN CRISTOBAL;AEO;NO;1026001.36
92;FUERTE;96;SAN CRISTOBAL;ADMINISTRATIVA;"ADMINISTRACION GD SAN CRISTOBAL, C.A.";;154;Administracion GD San Cristobal C.A;SAN CRISTOBAL;DISTRIBUIDORAS;NO;383871.75
102;FUERTE;96;CARACAS;AMERICAN EAGLE;"AEO SBL CCS, C.A.";"ABSOLUT FASHION, C.A.";101;"Aeo Sbl Ccs, C.A. 2023";CARACAS;AEO;NO;1513596.56
109;FUERTE;96;CARACAS;THE CHILDREN´S PLACE;"TCP TOLON CCS, C.A.";"TWEEN MERCEDES, C.A. (CERRADA EN BANCO)";54;"Tcp Tolon Ccs, C.A.2023";CARACAS;TCP;NO;724857.59
110;FUERTE;96;CARACAS;FITLAB;"FTL SBL CCS, C.A.";"GYMBO CHACAO, C.A. (CERRADA EN BANCO)";81;"Ftl Sbl Ccs, C.A.2023";CARACAS;FITLAB;SI;719311.06
112;FUERTE;96;CARACAS;AMERICAN EAGLE;"AKEIBA, C.A";;107;"Akeiba, C.A.2023";CARACAS;AEO;NO;789642.45
113;FUERTE;96;CARACAS;THE CHILDREN´S PLACE;"COMERCIAL ATENAS 2022,C.A";;61;"Comercial Atenas 2022, C.A.2023";CARACAS;TCP;NO;297723.92
124;FUERTE;96;CARACAS;SAMSONITE;"PORTAFOLIO GROUP SBL CCS, C.A.";;169;"Portafolio Group Sbl CCs 2024, C.A";CARACAS;SAMSONITE;SI;684044.13
129;FUERTE;96;CARACAS;COTTON ON;"SPORTS FOOT SBL CCS, C.A.";;211;"Sports Foot Sbl Ccs, C.A.";CARACAS;COTTON ON;SI;783619.49
131;FUERTE;96;CARACAS;ARDENE;"EH CANDELARIA, C.A";;198;"Eh Candelaria, C.A 2024";CARACAS;ENGLISH HOME;NO;932411.87
133;FUERTE;96;CARACAS;LOLE;"SPORTGEAR SBL CCS 2024, C.A.";;212;"Sportgear Sbl Ccs 2024, C.A.";CARACAS;LOLE;SI;2030.02
135;FUERTE;96;CARACAS;TUMI;"BAG GROUP SBL CCS 2024, C.A.";;209;"Bag Group Sbl Ccs 2024, C.A.";CARACAS;TUMI;SI;576068.01
136;FUERTE;96;CARACAS;TUMI;"BAG GROUP CCS, C.A.";;210;"Bag Group Ccs, C.A.";CARACAS;TUMI;SI;808106.78
137;FUERTE;96;CARACAS;ISTIKBAL;"FURNITURE CCS 2024, C.A";;224;"Furniture CCS 2024, C.A.";CARACAS;ISTIKBAL;SI;617837.13
138;FUERTE;96;CARACAS;COTTON ON;"COTTON ON CV, C.A";;207;"Cotton On Cv, C.A.";CARACAS;COTTON ON;SI;1779283.06
139;FUERTE;96;CARACAS;THE CHILDREN´S PLACE;"TCP LIDER CCS, C.A";;230;"Tcp Lider Ccs, C.A.";CARACAS;TCP;NO;1046868.25
141;FUERTE;96;CARACAS;AMERICAN EAGLE;"AEO CANDELARIA 2024, C.A";;256;"AEO Candelaria 2024, C.A.";CARACAS;AEO;NO;1150130.35
143;FUERTE;96;CARACAS;KARL LAGERFELD;"KL CANDELARIA, C.A";;237;"KL CANDELARIA, C.A.";CARACAS;KARL LAGERFELD;SI;607072.78
147;FUERTE;96;CARACAS;TOMMY HILFIGER;"TH LIDER CCS, C.A.";;246;"Th Lider Ccs, C.A.";CARACAS;TOMMY;NO;1399949.38
148;FUERTE;96;CARACAS;TOMMY HILFIGER;"TH CCCT CCS, C.A.";;245;"Th Ccct Ccs, C.A.";CARACAS;TOMMY;NO;1655225.96
149;FUERTE;96;CARACAS;TOMMY HILFIGER;"TH BOLEITA CCS, C.A.";;247;"Th Boleita Ccs, C.A.";CARACAS;TOMMY;NO;653437.86
150;FUERTE;96;CARACAS;TOMMY HILFIGER;"TH SBL CCS,C.A.";;248;"Th Sbl Ccs, C.A.";CARACAS;TOMMY;NO;1081042.45
157;FUERTE;96;CARACAS;ADMINISTRATIVA;"GD CASTELLANA, C.A.";"ASIA CHIC, C.A.";153;"GD Castellana, C.A";CARACAS;DISTRIBUIDORAS;NO;23534305.35
171;FUERTE;96;MARGARITA;THE CHILDREN´S PLACE;"COMERCIAL ST ORIENTE, C.A.";"COMERCIAL ST ORIENTE, C.A.";52;"Comercial St Oriente, C.A.2023";MARGARITA;TCP;NO;1190081.3
173;FUERTE;96;MARGARITA;TOMMY HILFIGER;"YUMAH, C.A.";"YUMAH, C.A.";100;"Yumah, C.A.2023";MARGARITA;TOMMY;NO;1459176.42
174;FUERTE;96;MARGARITA;TOMMY HILFIGER;"JIHAN, C.A. (TIENDA CERRADA) (X CERRAR CTA)";"JIHAN, CA";98;"Jihan, C.A.2023";MARGARITA;TOMMY;NO;0
176;FUERTE;96;MARGARITA;THE CHILDREN´S PLACE;"SAMI, C.A.";"SAMI, C.A.";51;"Sami, C.A. 2023";MARGARITA;TCP;NO;1447422.08
178;FUERTE;96;MARGARITA;TOMMY HILFIGER;"TOMMY LA VELA 2022, C.A";"YOULIN, C.A. (CERRADA EN BANCO)";99;"Tommy la Vela 2022, C.A.2023";MARGARITA;TOMMY;NO;2997942.8
179;FUERTE;96;MARGARITA;ENGLISH HOME;"UNITED GROUP,C.A.";"UNITED GROUP,C.A.";113;"United Group, C.A.2023";MARGARITA;ENGLISH HOME;SI;533029.2
180;FUERTE;96;MARGARITA;TUMI;"BAG GROUP MGTA, C.A";;147;"BAG GROUP MGTA, C.A";MARGARITA;TUMI;SI;806424.48
182;FUERTE;96;MARGARITA;ISTIKBAL;"EH MGTA, C.A";;132;"Eh Mgta, c.a. 2023";MARGARITA;ISTIKBAL;SI;11933781.79
